size_label,size_bytes,loss,run,seconds
10K,10240,0.0,1,0.001472
10K,10240,0.0,2,0.001128
10K,10240,0.0,3,0.001865
10K,10240,0.0,4,0.002747
10K,10240,0.0,5,0.001243
10K,10240,0.1,1,0.002381
10K,10240,0.1,2,0.002275
10K,10240,0.1,3,0.002176
10K,10240,0.1,4,0.002330
10K,10240,0.1,5,0.033496
10K,10240,0.2,1,0.065328
10K,10240,0.2,2,0.001909
10K,10240,0.2,3,0.002071
10K,10240,0.2,4,0.033515
10K,10240,0.2,5,0.003172
10K,10240,0.3,1,0.064827
10K,10240,0.3,2,0.127644
10K,10240,0.3,3,0.002061
10K,10240,0.3,4,0.096171
10K,10240,0.3,5,0.001300
50K,51200,0.0,1,0.002678
50K,51200,0.0,2,0.002887
50K,51200,0.0,3,0.002738
50K,51200,0.0,4,0.001886
50K,51200,0.0,5,0.003385
50K,51200,0.1,1,0.002969
50K,51200,0.1,2,0.003319
50K,51200,0.1,3,0.003382
50K,51200,0.1,4,0.002676
50K,51200,0.1,5,0.002405
50K,51200,0.2,1,0.250944
50K,51200,0.2,2,0.034279
50K,51200,0.2,3,0.158802
50K,51200,0.2,4,0.002666
50K,51200,0.2,5,0.098309
50K,51200,0.3,1,0.126887
50K,51200,0.3,2,0.003204
50K,51200,0.3,3,0.160366
50K,51200,0.3,4,0.098040
50K,51200,0.3,5,0.284228
100K,102400,0.0,1,0.003346
100K,102400,0.0,2,0.002058
100K,102400,0.0,3,0.003998
100K,102400,0.0,4,0.002817
100K,102400,0.0,5,0.004111
100K,102400,0.1,1,0.035862
100K,102400,0.1,2,0.131563
100K,102400,0.1,3,0.067940
100K,102400,0.1,4,0.003853
100K,102400,0.1,5,0.003743
100K,102400,0.2,1,0.192580
100K,102400,0.2,2,0.130581
100K,102400,0.2,3,0.194073
100K,102400,0.2,4,0.224150
100K,102400,0.2,5,0.098935
100K,102400,0.3,1,0.160605
100K,102400,0.3,2,0.252874
100K,102400,0.3,3,0.161308
100K,102400,0.3,4,0.316435
100K,102400,0.3,5,0.318397
500K,512000,0.0,1,0.009743
500K,512000,0.0,2,0.010506
500K,512000,0.0,3,0.009766
500K,512000,0.0,4,0.008699
500K,512000,0.0,5,0.009029
500K,512000,0.1,1,0.201550
500K,512000,0.1,2,0.362056
500K,512000,0.1,3,0.171798
500K,512000,0.1,4,0.328565
500K,512000,0.1,5,0.138449
500K,512000,0.2,1,0.423121
500K,512000,0.2,2,0.361576
500K,512000,0.2,3,0.831872
500K,512000,0.2,4,0.453209
500K,512000,0.2,5,0.547095
500K,512000,0.3,1,0.893756
500K,512000,0.3,2,0.608809
500K,512000,0.3,3,0.827476
500K,512000,0.3,4,0.952323
500K,512000,0.3,5,0.989081
1M,1048576,0.0,1,0.014866
1M,1048576,0.0,2,0.017293
1M,1048576,0.0,3,0.015583
1M,1048576,0.0,4,0.018199
1M,1048576,0.0,5,0.017289
1M,1048576,0.1,1,0.586326
1M,1048576,0.1,2,0.494220
1M,1048576,0.1,3,0.434930
1M,1048576,0.1,4,0.626571
1M,1048576,0.1,5,0.302048
1M,1048576,0.2,1,1.063217
1M,1048576,0.2,2,0.866243
1M,1048576,0.2,3,0.908133
1M,1048576,0.2,4,0.582622
1M,1048576,0.2,5,0.812114
1M,1048576,0.3,1,1.869813
1M,1048576,0.3,2,1.688104
1M,1048576,0.3,3,1.936774
1M,1048576,0.3,4,1.710888
1M,1048576,0.3,5,1.909136
5M,5242880,0.0,1,0.046779
5M,5242880,0.0,2,0.047550
5M,5242880,0.0,3,0.045700
5M,5242880,0.0,4,0.045384
5M,5242880,0.0,5,0.042858
5M,5242880,0.1,1,1.962656
5M,5242880,0.1,2,2.449826
5M,5242880,0.1,3,2.771081
5M,5242880,0.1,4,2.143157
5M,5242880,0.1,5,2.169081
5M,5242880,0.2,1,4.812752
5M,5242880,0.2,2,5.317804
5M,5242880,0.2,3,5.186096
5M,5242880,0.2,4,5.664216
5M,5242880,0.2,5,5.318769
5M,5242880,0.3,1,7.933165
5M,5242880,0.3,2,8.190483
5M,5242880,0.3,3,8.729028
5M,5242880,0.3,4,9.472341
5M,5242880,0.3,5,8.907202
10M,10485760,0.0,1,0.077152
10M,10485760,0.0,2,0.077447
10M,10485760,0.0,3,0.076862
10M,10485760,0.0,4,0.073074
10M,10485760,0.0,5,0.077179
10M,10485760,0.1,1,3.622269
10M,10485760,0.1,2,4.628063
10M,10485760,0.1,3,5.383199
10M,10485760,0.1,4,4.418030
10M,10485760,0.1,5,5.039360
10M,10485760,0.2,1,9.482620
10M,10485760,0.2,2,10.718441
10M,10485760,0.2,3,10.096021
10M,10485760,0.2,4,9.590336
10M,10485760,0.2,5,9.986981
10M,10485760,0.3,1,16.536994
10M,10485760,0.3,2,19.362890
10M,10485760,0.3,3,17.079146
10M,10485760,0.3,4,15.523256
10M,10485760,0.3,5,16.285307
