size_label,size_bytes,loss,sw_avg,gbn_avg,sr_avg
10K,10240,0.0,0.0,0.0,0.0
10K,10240,0.1,0.2,0.6,0.8
10K,10240,0.2,0.6,3.6,0.8
10K,10240,0.3,1.0,1.2,1.8
50K,51200,0.0,0.0,0.0,0.0
50K,51200,0.1,0.8,1.4,1.2
50K,51200,0.2,2.0,3.8,2.6
50K,51200,0.3,3.6,13.6,2.2
100K,102400,0.0,0.0,0.0,0.0
100K,102400,0.1,1.0,4.0,1.4
100K,102400,0.2,2.4,14.4,4.6
100K,102400,0.3,6.4,22.8,6.2
500K,512000,0.0,0.0,0.0,0.0
500K,512000,0.1,8.8,24.8,6.0
500K,512000,0.2,15.2,81.4,13.4
500K,512000,0.3,28.0,115.8,25.4
1M,1048576,0.0,0.0,0.0,0.0
1M,1048576,0.1,14.0,50.8,13.4
1M,1048576,0.2,26.2,149.0,32.4
1M,1048576,0.3,50.8,207.8,52.6
5M,5242880,0.0,0.0,0.0,0.0
5M,5242880,0.1,65.0,273.8,64.6
5M,5242880,0.2,151.0,637.4,160.4
5M,5242880,0.3,268.0,1116.2,272.4
10M,10485760,0.0,0.0,0.0,0.0
10M,10485760,0.1,141.2,607.4,136.4
10M,10485760,0.2,319.6,1267.4,315.6
10M,10485760,0.3,554.2,2253.6,535.2
