size_label,size_bytes,loss,sw_avg,gbn_avg,sr_avg
10K,10240,0.0,5608410.592,9580940.662,9908892.224
10K,10240,0.1,3284843.658,4831951.97,5225785.976
10K,10240,0.2,3151038.338,1067747.452,1462314.994
10K,10240,0.3,966293.162,2800643.672,1370946.506
50K,51200,0.0,21242877.286,22210957.992,28272297.93
50K,51200,0.1,7470783.65,17111618.356,6411322.938
50K,51200,0.2,870795.372,9113425.162,908223.51
50K,51200,0.3,485933.936,645222.378,11995527.648
100K,102400,0.0,34142689.25,32265028.164,45512037.464
100K,102400,0.1,7592575.292,15211541.422,10803021.888
100K,102400,0.2,6154160.95,965724.196,1296054.266
100K,102400,0.3,571224.65,578221.692,1106371.472
500K,512000,0.0,58272864.964,92605388.03,94970522.516
500K,512000,0.1,1947828.83,2876223.172,4021282.006
500K,512000,0.2,1116400.486,861014.094,1926484.898
500K,512000,0.3,601204.764,567759.352,1125609.24
1M,1048576,0.0,67292708.042,127706234.906,109969888.252
1M,1048576,0.1,2514881.166,2566649.106,3117929.156
1M,1048576,0.2,1314009.976,951348.574,1530387.09
1M,1048576,0.3,678725.008,673712.248,998212.262
5M,5242880,0.0,113908281.1,163432095.088,171735200.712
5M,5242880,0.1,2484768.188,2387719.546,3101216.896
5M,5242880,0.2,1090223.932,1061394.028,1547800.398
5M,5242880,0.3,620804.666,608481.89,1032396.654
10M,10485760,0.0,138625975.108,195586448.93,197161397.01
10M,10485760,0.1,2291429.502,2181317.064,3094192.472
10M,10485760,0.2,1028792.01,1064351.326,1631790.974
10M,10485760,0.3,597911.596,598292.512,1043917.968
