size_label,size_bytes,loss,sw_avg,gbn_avg,sr_avg
10K,10240,0.0,0.0021,0.001312,0.001464
10K,10240,0.1,0.008634,0.007941,0.013674
10K,10240,0.2,0.020805,0.051582,0.025303
10K,10240,0.3,0.033834,0.01436,0.044125
50K,51200,0.0,0.002582,0.00254,0.00183
50K,51200,0.1,0.027946,0.015129,0.032185
50K,51200,0.2,0.065678,0.038969,0.062818
50K,51200,0.3,0.115565,0.132821,0.056738
100K,102400,0.0,0.003063,0.00359,0.002295
100K,102400,0.1,0.035097,0.034018,0.03263
100K,102400,0.2,0.079508,0.126159,0.081916
100K,102400,0.3,0.203928,0.20095,0.105997
500K,512000,0.0,0.008973,0.005985,0.005426
500K,512000,0.1,0.28842,0.200896,0.147243
500K,512000,0.2,0.487985,0.645197,0.269463
500K,512000,0.3,0.887644,0.920366,0.464358
1M,1048576,0.0,0.015714,0.008403,0.009539
1M,1048576,0.1,0.458959,0.420491,0.360707
1M,1048576,0.2,0.841979,1.162997,0.721076
1M,1048576,0.3,1.607461,1.625313,1.061595
5M,5242880,0.0,0.046039,0.03931,0.03073
5M,5242880,0.1,2.127476,2.209766,1.712791
5M,5242880,0.2,4.819512,4.985962,3.418195
5M,5242880,0.3,8.464656,8.667361,5.086666
10M,10485760,0.0,0.075695,0.053673,0.053283
10M,10485760,0.1,4.605464,4.822198,3.41444
10M,10485760,0.2,10.232669,9.898988,6.444856
10M,10485760,0.3,17.541173,17.528261,10.050793
