size_label,size_bytes,loss,run,seconds,throughput_Bps,retransmits
10K,10240,0.0,1,0.001123,9116890.89,0
10K,10240,0.0,2,0.001753,5841108.79,0
10K,10240,0.0,3,0.000693,14779653.46,0
10K,10240,0.0,4,0.003133,3268620.47,0
10K,10240,0.0,5,0.000619,16538187.51,0
10K,10240,0.1,1,0.001557,6577285.29,0
10K,10240,0.1,2,0.001515,6758406.45,0
10K,10240,0.1,3,0.001604,6383720.71,0
10K,10240,0.1,4,0.062054,165017.15,4
10K,10240,0.1,5,0.001640,6244500.28,0
10K,10240,0.2,1,0.030836,332080.82,1
10K,10240,0.2,2,0.031289,327270.51,1
10K,10240,0.2,3,0.001707,5998557.68,0
10K,10240,0.2,4,0.031900,321003.85,1
10K,10240,0.2,5,0.030782,332662.11,1
10K,10240,0.3,1,0.062691,163340.90,3
10K,10240,0.3,2,0.031949,320512.77,1
10K,10240,0.3,3,0.092007,111295.69,3
10K,10240,0.3,4,0.001723,5942124.10,0
10K,10240,0.3,5,0.032256,317459.07,2
50K,51200,0.0,1,0.001593,32138336.55,0
50K,51200,0.0,2,0.001899,26961502.17,0
50K,51200,0.0,3,0.001805,28364597.12,0
50K,51200,0.0,4,0.002148,23837092.33,0
50K,51200,0.0,5,0.001703,30059961.48,0
50K,51200,0.1,1,0.062712,816431.26,2
50K,51200,0.1,2,0.031005,1651351.58,1
50K,51200,0.1,3,0.001936,26450100.36,0
50K,51200,0.1,4,0.033259,1539425.84,1
50K,51200,0.1,5,0.032014,1599305.65,2
50K,51200,0.2,1,0.063094,811488.90,2
50K,51200,0.2,2,0.062999,812711.18,2
50K,51200,0.2,3,0.061528,832138.68,2
50K,51200,0.2,4,0.093114,549864.20,5
50K,51200,0.2,5,0.033357,1534914.59,2
50K,51200,0.3,1,0.152970,334705.99,6
50K,51200,0.3,2,0.001806,28349619.12,0
50K,51200,0.3,3,0.095098,538391.87,3
50K,51200,0.3,4,0.032061,1596962.70,2
50K,51200,0.3,5,0.001756,29157958.56,0
100K,102400,0.0,1,0.002303,44461359.17,0
100K,102400,0.0,2,0.002447,41844965.86,0
100K,102400,0.0,3,0.001759,58213164.76,0
100K,102400,0.0,4,0.002284,44832644.01,0
100K,102400,0.0,5,0.002680,38208053.52,0
100K,102400,0.1,1,0.002385,42932499.96,0
100K,102400,0.1,2,0.032124,3187643.65,1
100K,102400,0.1,3,0.032409,3159620.77,1
100K,102400,0.1,4,0.032814,3120616.79,2
100K,102400,0.1,5,0.063416,1614728.27,3
100K,102400,0.2,1,0.093833,1091300.85,4
