size_label,size_bytes,loss,run,seconds,throughput_Bps,retransmits
10K,10240,0.0,1,0.000835,12260825.85,0
10K,10240,0.0,2,0.002801,3655602.43,0
10K,10240,0.0,3,0.001149,8912569.61,0
10K,10240,0.0,4,0.000921,11115339.79,0
10K,10240,0.0,5,0.000856,11960365.63,0
10K,10240,0.1,1,0.002334,4387544.48,0
10K,10240,0.1,2,0.001060,9658123.00,0
10K,10240,0.1,3,0.002052,4990086.32,0
10K,10240,0.1,4,0.032129,318717.06,3
10K,10240,0.1,5,0.002131,4805288.99,0
10K,10240,0.2,1,0.033047,309862.08,4
10K,10240,0.2,2,0.033963,301507.01,1
10K,10240,0.2,3,0.124395,82318.33,7
10K,10240,0.2,4,0.002283,4485605.53,0
10K,10240,0.2,5,0.064223,159444.31,6
10K,10240,0.3,1,0.002185,4686782.30,0
10K,10240,0.3,2,0.002454,4172706.98,0
10K,10240,0.3,3,0.002269,4512468.27,0
10K,10240,0.3,4,0.032133,318674.49,3
10K,10240,0.3,5,0.032759,312586.32,3
50K,51200,0.0,1,0.002619,19551016.46,0
50K,51200,0.0,2,0.001464,34975303.71,0
50K,51200,0.0,3,0.003724,13749175.03,0
50K,51200,0.0,4,0.002089,24509057.84,0
50K,51200,0.0,5,0.002802,18270236.92,0
50K,51200,0.1,1,0.003550,14422321.34,0
50K,51200,0.1,2,0.002757,18570422.41,0
50K,51200,0.1,3,0.002260,22655170.88,0
50K,51200,0.1,4,0.065318,783856.14,7
50K,51200,0.1,5,0.001758,29126321.01,0
50K,51200,0.2,1,0.094251,543230.79,10
50K,51200,0.2,2,0.002309,22175584.96,0
50K,51200,0.2,3,0.063059,811936.85,6
50K,51200,0.2,4,0.032723,1564651.11,3
50K,51200,0.2,5,0.002501,20471722.10,0
50K,51200,0.3,1,0.065774,778426.33,3
50K,51200,0.3,2,0.096108,532734.23,9
50K,51200,0.3,3,0.248735,205841.60,27
50K,51200,0.3,4,0.218778,234027.55,27
50K,51200,0.3,5,0.034710,1475082.18,2
100K,102400,0.0,1,0.001804,56774187.65,0
100K,102400,0.0,2,0.004091,25030405.59,0
100K,102400,0.0,3,0.003033,33760157.96,0
100K,102400,0.0,4,0.004116,24879611.28,0
100K,102400,0.0,5,0.004904,20880778.34,0
100K,102400,0.1,1,0.033686,3039867.01,4
100K,102400,0.1,2,0.095768,1069250.97,12
100K,102400,0.1,3,0.003176,32242078.64,0
100K,102400,0.1,4,0.034672,2953410.23,4
100K,102400,0.1,5,0.002786,36753100.26,0
100K,102400,0.2,1,0.096977,1055923.12,8
100K,102400,0.2,2,0.187160,547125.41,20
100K,102400,0.2,3,0.187736,545446.70,24
100K,102400,0.2,4,0.063901,1602480.15,8
100K,102400,0.2,5,0.095022,1077645.60,12
100K,102400,0.3,1,0.221458,462390.25,21
100K,102400,0.3,2,0.094281,1086115.39,11
100K,102400,0.3,3,0.219564,466378.40,27
100K,102400,0.3,4,0.249985,409624.61,30
100K,102400,0.3,5,0.219460,466599.81,25
500K,512000,0.0,1,0.006125,83592201.17,0
500K,512000,0.0,2,0.003365,152141951.68,0
500K,512000,0.0,3,0.006565,77991053.13,0
500K,512000,0.0,4,0.007660,66839417.60,0
500K,512000,0.0,5,0.006209,82462316.57,0
500K,512000,0.1,1,0.199720,2563590.23,24
500K,512000,0.1,2,0.285346,1794312.67,36
500K,512000,0.1,3,0.225197,2273564.15,28
500K,512000,0.1,4,0.194043,2638588.25,24
500K,512000,0.1,5,0.100175,5111060.56,12
500K,512000,0.2,1,0.721957,709183.78,92
500K,512000,0.2,2,0.410565,1247062.28,49
500K,512000,0.2,3,0.596592,858207.68,76
500K,512000,0.2,4,0.533942,958905.68,68
500K,512000,0.2,5,0.962929,531711.05,122
500K,512000,0.3,1,1.084718,472012.09,139
500K,512000,0.3,2,1.053051,486206.27,131
500K,512000,0.3,3,0.903597,566624.21,114
500K,512000,0.3,4,0.806802,634604.44,102
500K,512000,0.3,5,0.753662,679349.75,93
1M,1048576,0.0,1,0.009737,107692316.44,0
1M,1048576,0.0,2,0.006491,161544408.12,0
1M,1048576,0.0,3,0.007503,139749182.14,0
1M,1048576,0.0,4,0.008933,117384538.69,0
1M,1048576,0.0,5,0.009349,112160729.14,0
1M,1048576,0.1,1,0.383827,2731897.65,44
1M,1048576,0.1,2,0.351107,2986486.60,44
1M,1048576,0.1,3,0.475588,2204798.73,60
1M,1048576,0.1,4,0.537665,1950240.79,62
1M,1048576,0.1,5,0.354270,2959821.76,44
1M,1048576,0.2,1,1.239697,845832.50,159
1M,1048576,0.2,2,1.609898,651330.67,208
1M,1048576,0.2,3,0.904366,1159459.45,116
1M,1048576,0.2,4,1.211894,865237.36,155
1M,1048576,0.2,5,0.849130,1234882.89,107
1M,1048576,0.3,1,1.911386,548594.58,246
1M,1048576,0.3,2,1.069449,980482.52,136
1M,1048576,0.3,3,1.593128,658186.93,204
1M,1048576,0.3,4,1.818567,576594.64,233
1M,1048576,0.3,5,1.734036,604702.57,220
5M,5242880,0.0,1,0.026267,199600916.35,0
5M,5242880,0.0,2,0.027438,191079842.16,0
5M,5242880,0.0,3,0.025492,205666116.94,0
5M,5242880,0.0,4,0.033053,158619631.09,0
5M,5242880,0.0,5,0.084299,62193968.90,0
5M,5242880,0.1,1,1.954433,2682557.78,238
5M,5242880,0.1,2,2.275735,2303818.43,284
5M,5242880,0.1,3,2.234203,2346644.56,280
5M,5242880,0.1,4,2.103884,2492000.53,263
5M,5242880,0.1,5,2.480573,2113576.43,304
5M,5242880,0.2,1,4.838391,1083599.88,615
5M,5242880,0.2,2,5.002196,1048115.70,640
5M,5242880,0.2,3,4.403440,1190632.71,561
5M,5242880,0.2,4,5.906183,887693.49,760
5M,5242880,0.2,5,4.779601,1096928.36,611
5M,5242880,0.3,1,8.285042,632812.70,1065
5M,5242880,0.3,2,8.369671,626414.12,1080
5M,5242880,0.3,3,8.102114,647100.25,1043
5M,5242880,0.3,4,10.038042,522301.07,1293
5M,5242880,0.3,5,8.541935,613781.31,1100
10M,10485760,0.0,1,0.053340,196582702.47,0
10M,10485760,0.0,2,0.054675,191783925.34,0
10M,10485760,0.0,3,0.051281,204477560.76,0
10M,10485760,0.0,4,0.056557,185401045.08,0
10M,10485760,0.0,5,0.052511,199687011.00,0
10M,10485760,0.1,1,4.359707,2405152.26,545
10M,10485760,0.1,2,4.706481,2227940.70,592
10M,10485760,0.1,3,4.941735,2121878.23,624
10M,10485760,0.1,4,5.027035,2085873.78,636
10M,10485760,0.1,5,5.076030,2065740.35,640
10M,10485760,0.2,1,10.239740,1024025.99,1314
10M,10485760,0.2,2,10.332753,1014807.94,1320
10M,10485760,0.2,3,9.356316,1120714.62,1199
10M,10485760,0.2,4,10.689274,980960.91,1368
10M,10485760,0.2,5,8.876855,1181247.17,1136
10M,10485760,0.3,1,17.697779,592490.16,2288
10M,10485760,0.3,2,17.273168,607054.81,2235
10M,10485760,0.3,3,17.573446,596682.06,2270
10M,10485760,0.3,4,17.337993,604785.11,2230
10M,10485760,0.3,5,17.758917,590450.42,2245
