size_label,size_bytes,loss,run,seconds,throughput_Bps,retransmits
10K,10240,0.0,1,0.001415,7237895.68,0
10K,10240,0.0,2,0.002677,3825229.16,0
10K,10240,0.0,3,0.001928,5310952.51,0
10K,10240,0.0,4,0.003283,3119075.74,0
10K,10240,0.0,5,0.001198,8548899.87,0
10K,10240,0.1,1,0.032970,310583.59,1
10K,10240,0.1,2,0.002635,3885793.27,0
10K,10240,0.1,3,0.002682,3817748.71,0
10K,10240,0.1,4,0.002317,4419600.02,0
10K,10240,0.1,5,0.002566,3990492.70,0
10K,10240,0.2,1,0.064632,158435.60,2
10K,10240,0.2,2,0.002354,4349774.45,0
10K,10240,0.2,3,0.033296,307545.65,1
10K,10240,0.2,4,0.001849,5538320.18,0
10K,10240,0.2,5,0.001896,5401115.81,0
10K,10240,0.3,1,0.033274,307750.59,1
10K,10240,0.3,2,0.034622,295766.09,1
10K,10240,0.3,3,0.064859,157880.57,2
10K,10240,0.3,4,0.033698,303874.86,1
10K,10240,0.3,5,0.002719,3766193.70,0
50K,51200,0.0,1,0.002972,17228107.89,0
50K,51200,0.0,2,0.002916,17557711.13,0
50K,51200,0.0,3,0.002712,18878977.13,0
50K,51200,0.0,4,0.001487,34425835.97,0
50K,51200,0.0,5,0.002825,18123754.31,0
50K,51200,0.1,1,0.002979,17186743.88,0
50K,51200,0.1,2,0.003127,16373007.38,0
50K,51200,0.1,3,0.033915,1509665.20,1
50K,51200,0.1,4,0.034018,1505083.79,1
50K,51200,0.1,5,0.065690,779418.00,2
50K,51200,0.2,1,0.066205,773352.41,2
50K,51200,0.2,2,0.065038,787232.49,2
50K,51200,0.2,3,0.096855,528624.37,3
50K,51200,0.2,4,0.065869,777302.12,2
50K,51200,0.2,5,0.034421,1487465.47,1
50K,51200,0.3,1,0.127449,401728.46,4
50K,51200,0.3,2,0.128722,397756.55,4
50K,51200,0.3,3,0.159497,321008.65,5
50K,51200,0.3,4,0.096308,531629.05,3
50K,51200,0.3,5,0.065848,777546.97,2
100K,102400,0.0,1,0.003271,31302144.86,0
100K,102400,0.0,2,0.003723,27505394.15,0
100K,102400,0.0,3,0.002462,41593717.76,0
100K,102400,0.0,4,0.003147,32537631.03,0
100K,102400,0.0,5,0.002711,37774558.45,0
100K,102400,0.1,1,0.036399,2813254.36,1
100K,102400,0.1,2,0.035596,2876717.03,1
