size_label,size_bytes,loss,run,seconds
10K,10240,0.0,1,0.000966
10K,10240,0.0,2,0.001915
10K,10240,0.0,3,0.000899
10K,10240,0.0,4,0.002417
10K,10240,0.0,5,0.000854
10K,10240,0.1,1,0.032134
10K,10240,0.1,2,0.033888
10K,10240,0.1,3,0.032241
10K,10240,0.1,4,0.032961
10K,10240,0.1,5,0.033384
10K,10240,0.2,1,0.032906
10K,10240,0.2,2,0.063492
10K,10240,0.2,3,0.034038
10K,10240,0.2,4,0.033261
10K,10240,0.2,5,0.156242
10K,10240,0.3,1,0.002425
10K,10240,0.3,2,0.063196
10K,10240,0.3,3,0.064352
10K,10240,0.3,4,0.064419
10K,10240,0.3,5,0.033854
50K,51200,0.0,1,0.002429
50K,51200,0.0,2,0.001234
50K,51200,0.0,3,0.004047
50K,51200,0.0,4,0.003952
50K,51200,0.0,5,0.003761
50K,51200,0.1,1,0.065333
50K,51200,0.1,2,0.033711
50K,51200,0.1,3,0.002860
50K,51200,0.1,4,0.034323
50K,51200,0.1,5,0.034785
50K,51200,0.2,1,0.001624
50K,51200,0.2,2,0.034002
50K,51200,0.2,3,0.034809
50K,51200,0.2,4,0.064654
50K,51200,0.2,5,0.033355
50K,51200,0.3,1,0.096903
50K,51200,0.3,2,0.035749
50K,51200,0.3,3,0.154742
50K,51200,0.3,4,0.188384
50K,51200,0.3,5,0.124728
100K,102400,0.0,1,0.001285
100K,102400,0.0,2,0.003683
100K,102400,0.0,3,0.003591
100K,102400,0.0,4,0.004690
100K,102400,0.0,5,0.003489
100K,102400,0.1,1,0.064738
100K,102400,0.1,2,0.034080
100K,102400,0.1,3,0.066956
100K,102400,0.1,4,0.034682
100K,102400,0.1,5,0.157444
100K,102400,0.2,1,0.034437
100K,102400,0.2,2,0.251639
100K,102400,0.2,3,0.095811
100K,102400,0.2,4,0.095910
100K,102400,0.2,5,0.280662
100K,102400,0.3,1,0.157246
100K,102400,0.3,2,0.493740
100K,102400,0.3,3,0.217995
100K,102400,0.3,4,0.217836
100K,102400,0.3,5,0.126253
500K,512000,0.0,1,0.005344
500K,512000,0.0,2,0.006958
500K,512000,0.0,3,0.007849
500K,512000,0.0,4,0.007656
500K,512000,0.0,5,0.006198
500K,512000,0.1,1,0.165123
500K,512000,0.1,2,0.193095
500K,512000,0.1,3,0.223776
500K,512000,0.1,4,0.287106
500K,512000,0.1,5,0.134129
500K,512000,0.2,1,0.379959
500K,512000,0.2,2,0.501604
500K,512000,0.2,3,0.348298
500K,512000,0.2,4,0.715586
500K,512000,0.2,5,0.349225
500K,512000,0.3,1,0.870358
500K,512000,0.3,2,1.147365
500K,512000,0.3,3,0.780151
500K,512000,0.3,4,1.052167
500K,512000,0.3,5,0.744955
1M,1048576,0.0,1,0.009620
1M,1048576,0.0,2,0.011431
1M,1048576,0.0,3,0.009202
1M,1048576,0.0,4,0.011908
1M,1048576,0.0,5,0.011059
1M,1048576,0.1,1,0.660730
1M,1048576,0.1,2,0.482434
1M,1048576,0.1,3,0.292976
1M,1048576,0.1,4,0.261767
1M,1048576,0.1,5,0.385390
1M,1048576,0.2,1,1.029991
1M,1048576,0.2,2,0.913033
1M,1048576,0.2,3,1.184162
1M,1048576,0.2,4,1.368932
1M,1048576,0.2,5,0.937669
1M,1048576,0.3,1,1.491389
1M,1048576,0.3,2,1.886596
1M,1048576,0.3,3,1.886152
1M,1048576,0.3,4,1.674075
1M,1048576,0.3,5,2.134354
5M,5242880,0.0,1,0.032416
5M,5242880,0.0,2,0.032164
5M,5242880,0.0,3,0.028467
5M,5242880,0.0,4,0.030794
5M,5242880,0.0,5,0.034819
5M,5242880,0.1,1,2.192553
5M,5242880,0.1,2,2.597233
5M,5242880,0.1,3,2.660398
5M,5242880,0.1,4,2.037312
5M,5242880,0.1,5,2.036436
5M,5242880,0.2,1,5.182804
5M,5242880,0.2,2,4.675689
5M,5242880,0.2,3,5.049594
5M,5242880,0.2,4,4.592219
5M,5242880,0.2,5,5.406231
5M,5242880,0.3,1,8.086377
5M,5242880,0.3,2,8.364903
5M,5242880,0.3,3,8.252251
5M,5242880,0.3,4,9.327918
5M,5242880,0.3,5,9.412457
10M,10485760,0.0,1,0.053745
10M,10485760,0.0,2,0.053538
10M,10485760,0.0,3,0.053574
10M,10485760,0.0,4,0.058862
10M,10485760,0.0,5,0.055509
10M,10485760,0.1,1,4.220234
10M,10485760,0.1,2,4.824215
10M,10485760,0.1,3,4.046235
10M,10485760,0.1,4,5.058110
10M,10485760,0.1,5,4.390829
10M,10485760,0.2,1,10.739784
10M,10485760,0.2,2,10.302171
10M,10485760,0.2,3,9.498497
10M,10485760,0.2,4,9.688634
10M,10485760,0.2,5,9.497809
10M,10485760,0.3,1,16.203078
10M,10485760,0.3,2,17.299863
10M,10485760,0.3,3,16.717435
10M,10485760,0.3,4,18.389165
10M,10485760,0.3,5,16.960903
50M,52428800,0.0,1,0.228402
50M,52428800,0.0,2,0.226725
50M,52428800,0.0,3,0.248713
50M,52428800,0.0,4,0.223896
50M,52428800,0.0,5,0.224798
50M,52428800,0.1,1,22.396854
50M,52428800,0.1,2,21.668290
50M,52428800,0.1,3,22.650290
50M,52428800,0.1,4,21.863822
50M,52428800,0.1,5,21.763316
50M,52428800,0.2,1,47.383516
50M,52428800,0.2,2,51.037271
50M,52428800,0.2,3,48.844372
50M,52428800,0.2,4,48.608555
50M,52428800,0.2,5,49.331787
50M,52428800,0.3,1,85.940379
50M,52428800,0.3,2,85.315670
50M,52428800,0.3,3,86.052325
50M,52428800,0.3,4,84.403091
50M,52428800,0.3,5,87.608011
100M,104857600,0.0,1,0.436297
100M,104857600,0.0,2,0.445485
100M,104857600,0.0,3,0.442918
100M,104857600,0.0,4,0.443303
100M,104857600,0.0,5,0.446326
100M,104857600,0.1,1,45.187227
100M,104857600,0.1,2,45.691341
100M,104857600,0.1,3,44.175273
100M,104857600,0.1,4,44.645920
100M,104857600,0.1,5,45.021728
100M,104857600,0.2,1,98.121124
100M,104857600,0.2,2,95.493904
100M,104857600,0.2,3,96.312139
100M,104857600,0.2,4,98.498044
100M,104857600,0.2,5,96.708463
100M,104857600,0.3,1,172.812671
100M,104857600,0.3,2,175.911485
100M,104857600,0.3,3,178.550823
100M,104857600,0.3,4,172.002325
100M,104857600,0.3,5,173.830967
