size_label,size_bytes,loss,run,seconds,throughput_Bps,retransmits
10K,10240,0.0,1,0.001129,9070680.67,0
10K,10240,0.0,2,0.000906,11302545.52,0
10K,10240,0.0,3,0.001581,6477103.45,0
10K,10240,0.0,4,0.001856,5517686.66,0
10K,10240,0.0,5,0.000848,12078085.76,0
10K,10240,0.1,1,0.031565,324410.45,2
10K,10240,0.1,2,0.000997,10270127.44,0
10K,10240,0.1,3,0.000815,12562057.02,0
10K,10240,0.1,4,0.001148,8921826.54,0
10K,10240,0.1,5,0.001779,5756557.16,0
10K,10240,0.2,1,0.031767,322348.19,1
10K,10240,0.2,2,0.031981,320190.20,3
10K,10240,0.2,3,0.000953,10748166.41,0
10K,10240,0.2,4,0.031824,321768.60,2
10K,10240,0.2,5,0.001183,8655718.05,0
